menu_item_id,item_name,category,price,is_standard
958808d1-fba4-4ebd-8c22-6fce2e81,Egusi Soup,Appetizer,2937.1,No
5159c49c-07e6-44a5-a8f1-86291285,Pounded Yam,Side Dish,4142.81,No
5983d4bf-4c2a-4b97-95cc-67f434f0,Banga Soup,Side Dish,4854.93,Yes
7e552b4f-768e-4ab5-b90e-b984e443,Amala,Snack,971.25,Yes
a9b0f1a9-3355-4d54-9001-73038cab,Jollof Rice,Main Course,2279.21,No
4bdea086-7924-45e5-b4b1-074767dc,Banga Soup,Main Course,848.37,Yes
8330201d-c33e-4c1d-8bcc-c29dc10c,Dodo,Dessert,4534.81,No
74ccf5bd-b344-4821-beac-d00d9b87,Moin Moin,Main Course,4696.22,Yes
a630bea0-69ac-4b1f-98ad-b8162b46,Egusi Soup,Appetizer,4238.97,No
cdefd3c5-405f-4544-99ad-7e0c86af,Pepper Soup,Side Dish,4692.55,No
555dfeb6-14eb-4f5d-815c-d48f83d8,Amala,Snack,1424.74,No
5420f123-28aa-4941-b0f8-724502bf,Chin Chin,Dessert,2442.93,Yes
ff0e29b2-ef8c-4347-8cf2-412902ec,Fried Rice,Dessert,1158.24,Yes
99d8f59d-8735-46e1-98ae-da963efb,Chin Chin,Dessert,2840.29,Yes
2fd1d1b5-f0fe-45d1-b8c6-0dab6ae5,Ofada Rice,Dessert,1979.51,Yes
d310ca3a-bb71-43e8-b84d-ed484449,Amala,Appetizer,861.6,Yes
280aeaf1-3eff-47ff-ab9a-afab2c8b,Ewedu Soup,Side Dish,860.34,Yes
4618c7d5-aadb-4d8b-9879-fad03372,Chin Chin,Main Course,4048.46,No
fabc7353-cc4c-4fbd-adb3-dd802e59,Suya,Snack,2686.22,No
121352cb-314f-476f-8c89-3b0d183e,Puff Puff,Soup,630.42,No
62e332b8-4bc4-4464-8ea8-dc3ec786,Puff Puff,Appetizer,1121.68,Yes
b5f79a96-e527-44c4-883b-69f27029,Puff Puff,Side Dish,1603.14,Yes
b00d9231-4fb2-41c1-81af-c0813829,Eba,Soup,1898.74,No
12fe035a-4d58-4da7-bca8-3df35b90,Fried Rice,Dessert,4316.03,Yes
3f522aa6-4219-44ca-827e-2077f480,Banga Soup,Dessert,2006.61,Yes
9d257a4c-b440-43c5-8759-f149485c,Egusi Soup,Snack,3862.67,No
56c79b86-29b7-46d6-9014-eda2a507,Egusi Soup,Side Dish,2038.32,No
fd2efdbc-90fe-4f6e-bba4-5f20a2af,Banga Soup,Dessert,1568.58,Yes
209d29d6-2dd7-44b7-917f-a0c4b9d1,Fried Rice,Appetizer,883.11,No
ff6af17a-fa9a-41e2-abe5-d5c0bc3f,Eba,Appetizer,3385.47,Yes
07939f40-b595-4903-9014-eefdd38a,Banga Soup,Appetizer,4046.2,No
6ff1019a-0f3f-4856-9066-650ed31f,Kilishi,Side Dish,2039.34,No
45df0239-9b10-44ca-9a6e-0b199182,Ogbono Soup,Side Dish,4301.26,Yes
24944401-4c8c-49c6-b8c3-51971f07,Akara,Soup,3875.68,No
9ee42cf4-33f1-47ed-944c-7c8c0327,Fried Rice,Soup,4847.89,No
41350810-8741-4a6f-a550-3c012d7a,Kilishi,Soup,609.98,Yes
408eccca-e5f6-486e-b7f7-d5f42610,Ewedu Soup,Dessert,3647.69,Yes
72dfa9b1-5a00-446d-ab16-cff7cb99,Pepper Soup,Dessert,4906.05,Yes
79d21532-0b13-4986-8794-966cfae8,Dodo,Main Course,1859.28,No
85671581-5ed1-4f32-bc5c-67165d94,Pepper Soup,Appetizer,3023.82,No
658a6b83-8f13-488a-a15a-89e640ad,Ewedu Soup,Dessert,2089.12,Yes
8033bfb1-6568-4696-bb2e-02ace01d,Ewedu Soup,Appetizer,4862.97,Yes
591b933e-475e-4742-9783-37b6baad,Ogbono Soup,Soup,1892.98,Yes
342f5339-4def-44c9-b1fe-724dc60e,Asun,Soup,1982.21,No
4e38405f-5298-45d0-92dd-29fac44d,Akara,Side Dish,4092.83,No
c9e686af-772d-47c5-a7c7-a701a642,Kilishi,Snack,3675.94,No
dea0e854-2359-4c1e-a8e6-d66a7ccb,Akara,Dessert,2068.71,Yes
84de3421-3d6d-45ea-9e63-699401d4,Amala,Appetizer,4566.74,No
9ae36685-c43a-4e5f-aa30-d051ce82,Moin Moin,Dessert,3705.83,No
f186dc9d-548d-4397-aec8-4b79ca00,Moin Moin,Dessert,3737.07,No
575a4608-9057-45e9-9b20-ef72d656,Egusi Soup,Dessert,3598.73,No
ea79f6bb-aada-4667-87ec-aac46d34,Banga Soup,Side Dish,1387.59,No
9a1fd482-6e22-4534-9b6e-7d638289,Pepper Soup,Snack,4365.91,No
dda59c32-12db-4402-b50b-8b705065,Asun,Soup,1194.63,No
bcc18e43-ae89-4ebb-a4aa-ef1f3558,Kilishi,Appetizer,1944.33,No
3533cfef-7612-4bb9-9cbd-2a762050,Akara,Snack,4635.54,No
