order_item_id,order_id,menu_item_id,quantity
8561d971-702f-4c07-9912-87dcb87a,b5c8b416-08b7-45ed-b,45a8457a-d96a-4f88-bf1e-aecfd54b,5
fda095b5-d86a-48a1-877a-52f93380,37e8cb28-1a5e-4900-b,125461ef-847c-40f3-b6b5-9a2d520b,10
90c972b5-67fb-4d63-bfbe-907ba3e2,b4865028-e86e-4717-8,53739a8e-2b8a-42a1-8404-dda613be,6
5f37b51c-e891-4409-98c2-8b3972a7,3a2846f4-a55f-4242-b,befc8f5c-1f20-4e1a-a596-8cd206a2,9
fe2364da-43f4-4bd9-80cc-8e0c91f4,2706994e-23e7-4457-9,d2911293-e214-4aa0-93cf-7ad33fe0,5
5a0bf8e8-08b1-47ce-abb2-91d3ce52,3a346865-7d0e-45a7-b,9d25241a-ab69-4189-b7f8-c1e44e36,2
7b146598-3a89-43b1-80e1-5c8d351c,417cf55d-fb94-440f-b,79df02ad-d16b-4aa6-897e-20decd1a,4
c2f45630-2ead-424e-83f6-3d91fb97,e98c648c-71dd-45a8-8,644bcb4c-ccc8-4292-8d14-9a7c96e7,4
e9b37976-2cfc-4af2-9cc3-119b0032,2e38aa9d-2059-40c8-b,dbd6b778-f682-4d74-a736-ebf0a6bf,2
af8ec875-da4f-4a5d-9d8d-80a325fb,4f6374c1-21e3-44db-a,0eb6e44e-58ec-4f1e-8d32-9a7e1ec6,7
ab307be1-ef1d-4875-b633-6acde33b,f6685220-7e09-4344-9,0a6bfd07-b320-4484-aa12-17522f16,10
3bec3727-29cc-46da-ae81-893f691a,3dd9c2f8-aecd-4a76-8,0be3f405-e60e-4491-8698-81681646,2
e70f1241-13be-4ad9-9973-4abe1b93,52a7ee77-9737-40bb-a,9c8dcec2-8a02-4833-b828-6d0caa32,8
a2af01af-ca13-4ea8-9ddc-305142c7,8bc5c633-d35e-4632-9,a9dc3aee-0275-4525-b713-18a9aad0,10
f311b69f-4949-450b-b31f-ec33856f,1473b88e-56bb-414f-9,ba0a7479-a2e0-4512-ae49-2b062c03,10
135c56c8-be87-4e70-8d6e-17f12040,2fcfc26f-48f0-41a7-8,19b5c5fb-9074-4867-9efd-ff754bdc,9
7291c263-e486-4908-ba39-3c195d35,1cac8b88-c41b-4887-9,b0a3a801-bdc7-4608-8c4a-f48a3636,10
088374b5-8011-49ad-941f-7d1bc054,4d83d969-1d5c-410d-9,a9010eb8-78d9-4c2e-878d-b3f78699,10
e2f92fff-890e-4b49-903d-5fba26e6,2bec16b0-ef49-42b0-a,e7ec6091-dbc0-472d-9d38-8880250c,4
7df48828-5dd8-4d1c-9c72-a37ee3cf,d92fb84e-5342-4cc4-9,8283d3f6-4cd8-46a5-9ffb-0cc35302,6
63a6be30-fcba-4607-aea8-610fc6f6,03920177-370f-436e-a,4d81a61e-320c-4299-ba02-9a9b2c29,3
f29adab9-c573-4209-9446-e2e55ea9,aa6c5bcb-2c7a-479a-a,cb5ab8b8-5f2f-4297-8e6d-50b53130,9
c6c6d9ff-f287-422d-b837-1175ad8b,07a9f12d-a68d-4abf-b,c595bbc2-857d-4235-88bd-789510d0,7
40f73331-c25f-4038-a11e-8c5a9e42,9112d91d-20d9-4e19-b,066f84e5-9273-404a-a4bb-800bf13f,5
379b47ef-c721-4e9d-b0fd-ca34f4b5,dcde38bf-b346-4923-a,a4eda260-fa7c-416a-9189-e6000a8c,7
416c0dde-ba00-4929-a4af-aad39321,ad4f0027-047a-4cdd-8,c5c666d3-b4ae-417e-9786-64d1865d,2
0344ac7f-3a29-4169-af0f-1884e066,7e53d87d-d8c2-4cea-9,acfb8c3c-47d7-4f3d-ad3f-a733de15,2
e499691c-571a-4ce8-a7fe-384d1d1d,3f40990b-99cf-4fe3-8,dd7b2423-329d-4ec0-b720-031639d1,5
8504e0e0-230b-4997-a03a-7facfc7a,9c72df3c-c486-4bd2-9,f65c5267-c453-42d1-8406-448561e3,8
f652f75b-9864-44f3-bc4d-048bf18f,1b0fcf15-4391-4f79-b,a3d04dea-043a-4240-a941-2c5a2110,10
6e4bf359-da5b-4e46-8848-ba985c03,2715ad63-bc45-42de-a,0afb9f5f-c707-445a-a5f2-8c66087a,8
084a2b9e-05ca-4823-aec9-c4252e4a,6517f735-1f90-4bc1-b,e3ea4c0b-38e0-42c8-b4e6-7a83d163,4
