order_id,branch_id,customer_id,payment_method_id,order_date_time,order_type,total_amount
3d5d5977-1317-4b1c-a,2,0f967bcc,96b24704-7ab5-4667-b,2024-04-07T07:41:35,delivery,9409.32
2c99a4ae-42cc-45e7-a,2,1eab5cd8,ac1e1750-220c-4b07-9,2023-10-04T08:00:43,delivery,18670.54
ac3d7a1f-6be3-44a4-8,3,635a8ce2,ac25416e-754c-476a-b,2023-02-16T11:03:44,delivery,38270.5
312ac321-8216-4a7d-b,1,a9f559fc,17ec0eda-c09f-4a77-b,2023-12-21T06:49:38,walk in,29076.3
13eb7c7d-dad5-435f-9,3,ab721ab0,b3a8f1ed-6c11-44b2-8,2023-11-20T14:59:41,delivery,33359.6
37c0b1c5-2905-494a-b,1,95c5fb98,dd3b54fd-7f32-4edb-8,2024-05-01T18:54:21,walk in,45622.28
12355ffb-024e-485b-b,3,62d1c049,0fac0a52-e017-48bb-b,2024-05-30T07:32:50,walk in,48323.92
7f65fef1-bac8-46de-a,4,6f055718,2f36c850-0f2b-45ee-b,2023-08-23T21:49:18,delivery,45923.54
380b1a2b-65ce-4970-8,2,d64a3ce0,a37acb30-1377-4394-8,2023-06-17T03:17:55,walk in,17127.72
edd56b1b-0ed2-4b66-8,1,ae711399,e946251c-4320-410c-8,2023-11-08T16:35:27,walk in,7540.79
cef3a610-74c8-4ce4-b,3,d64a3ce0,acd2f500-c0a4-48c8-8,2023-10-28T11:19:12,walk in,9850.01
cb559318-6927-4fcf-b,4,a9f559fc,42f3fd3b-bb01-44d6-b,2023-12-13T19:44:48,walk in,37050.73
e7db2eb4-9077-4f03-9,3,daea58ba,f1693202-ddb0-4c50-a,2023-12-06T12:13:39,walk in,16744.82
4a42780a-ece1-42a6-9,1,4d23bed5,f2b428ae-2d07-4174-9,2024-05-30T05:26:51,walk in,7429.01
b91cbf6b-7b83-4304-9,1,a9f559fc,2a8e2a60-c6df-41fb-a,2023-05-16T17:13:31,delivery,18488.02
bbc58426-56dd-46e6-8,4,213f191f,d668f1d2-d0ef-408b-b,2023-12-24T18:05:37,walk in,16679.64
d4a31b05-7d76-4edd-b,1,d1f6f86c,f4f4e43e-b969-4a9e-a,2024-06-22T03:46:58,walk in,29869.37
16d10255-bfd0-45fe-a,2,1eab5cd8,88f271e3-11fc-411b-8,2024-10-14T23:01:50,delivery,26093.8
d4bffe6b-4d29-4c56-8,1,6a5ccc2c,552b4b81-5c1e-4a08-8,2023-05-30T16:29:04,walk in,35515.53
f15bb0d0-8a73-41c6-8,4,95c5fb98,6424fc82-386c-44e4-9,2024-02-01T13:06:55,walk in,24884.48
6cd65dff-5658-4ad9-8,3,0f967bcc,c4c39518-c088-44a0-9,2024-07-30T08:59:03,delivery,10109.18
1280b7f0-f96b-4b7a-9,4,62d1c049,a80cbb4b-8068-447f-8,2023-01-05T05:09:31,walk in,36307.76
7ccb282b-2f5d-4758-9,1,34a9af41,b586ffd8-e99f-4300-8,2024-05-05T13:55:10,delivery,30725.46
95e7f412-e8af-4eb2-8,2,daea58ba,9af2e90d-3e73-4b17-a,2023-12-21T00:03:28,delivery,11937.88
23a7a6f0-6aec-4664-b,3,213f191f,5e587698-4356-47b3-a,2024-05-01T17:29:28,walk in,31531.44
1277fe12-2b31-417e-a,1,a70ce1b5,21ff171f-e79c-4fda-9,2023-09-29T07:44:11,delivery,17862.74
cc7939eb-5915-4207-b,4,5987baf1,f861dac2-59e8-48c1-8,2024-08-27T15:25:56,delivery,6627.02
de69811f-77e9-4849-b,4,452ec40a,4eb4df1f-24f0-4482-9,2024-04-09T13:49:41,delivery,18560.23
9d3ead32-d413-4bdc-a,2,026530cd,c1626c6e-9ac0-4073-b,2023-04-09T00:01:13,delivery,49055.71
dbc2e3a3-9aa1-453e-9,4,94820a06,66e1503c-d8ce-4a64-8,2023-09-09T21:00:43,walk in,17249.44
5e9b8a81-c454-4d5b-a,1,5473da68,09573b62-0c61-4af4-a,2024-12-29T16:18:23,walk in,21847.34
9bcbf42b-e3cd-4404-9,4,d64a3ce0,0fc709dc-0016-4702-9,2023-10-14T12:34:05,walk in,47745.89
2450b8d8-4691-4792-b,4,ab721ab0,1159ebfb-9b23-4179-b,2023-02-01T10:51:48,walk in,12412.15
6e19124c-534e-4eb1-8,4,026530cd,4bc471fe-57b2-47aa-a,2023-10-26T22:55:45,walk in,3014.78
810eeca9-830b-406a-9,1,a70ce1b5,d427cc90-3395-4aad-9,2024-03-04T18:10:55,walk in,45909.71
52a1d224-1807-49da-8,4,ae711399,da20fbc3-34b5-47d8-b,2023-11-28T22:53:03,walk in,17378.61
0ff4bd68-ea72-48c7-9,1,a9f559fc,451ece0c-2bcf-4263-8,2023-06-28T13:49:29,delivery,21820.36
be1a5058-3a05-4b11-a,2,026530cd,a189473e-0f5b-432e-9,2024-06-30T08:59:56,walk in,24908.22
c5b99248-57bb-4d6c-a,1,635a8ce2,d3339d7f-ba12-46c5-9,2023-07-28T21:32:36,delivery,17715.09
8772be37-2037-41ac-9,3,6a5ccc2c,8758564a-9643-42c6-b,2023-11-01T18:06:57,delivery,40219.47
b560e7e7-b51a-405a-9,1,62d1c049,c1a9272a-aa60-454d-b,2023-11-17T23:56:48,delivery,35644.66
3895e036-94d9-4e93-8,1,ab721ab0,96a2ae5c-086b-4a05-b,2023-01-27T16:56:27,delivery,34185.3
