payment_method_id,name
d2bf8401-84b9-4b41-8,Debit Card
4af334a4-4696-4fb2-8,Debit Card
7b59e09d-a367-47c4-8,Cash
6b59d915-579d-402f-8,Cash
0d42de9e-e846-45a3-8,Debit Card
45e09e13-37fc-4c5a-a,Debit Card
aac6d800-dc3d-4e94-9,Cash
10f9cbca-70fd-4e47-9,Online Payments
7e72b395-ce10-4698-9,Debit Card
aa14db69-79a9-46be-9,Online Payments
901d2406-4980-4abb-b,Online Payments
6bc1a448-7761-4fda-9,Debit Card
a2c3456a-7190-473f-a,Cash
79b06836-822a-4afc-a,Debit Card
2bde8a4b-b429-44f6-b,Cash
a857e850-735d-43a0-8,Debit Card
d16bcf64-30d2-4814-8,Cash
4cafdce4-b98f-4829-8,Cash
4494ed79-0bb6-4d53-b,Debit Card
ff00c2a3-15ea-43a7-8,Online Payments
2766ac8d-ee79-4a17-9,Online Payments
194294a4-9be2-42a1-a,Debit Card
7ebed40d-7049-451d-9,Cash
e747e95b-b397-441e-b,Online Payments
1a0dd4e5-d05c-40f2-a,Cash
4eaf0c40-e795-440d-9,Cash
e56319ef-ca2f-4c84-8,Debit Card
c6d7312b-9d32-4a1b-9,Online Payments
3cf62899-3c3b-4f72-a,Online Payments
2873423a-dec1-4cae-9,Online Payments
ac4f1704-772d-4de0-b,Debit Card
04bbc69e-bf29-409e-8,Debit Card
895c8c3c-dfac-4072-a,Debit Card
dfeebfb9-d165-491e-b,Debit Card
9385f8ac-c16e-4580-b,Cash
d221fd45-5c1d-4fd0-8,Debit Card
c956cb82-8caa-4a58-a,Cash
7dbdc9f9-6c10-4d5e-a,Cash
b9cb23ea-7af2-4b79-9,Debit Card
5a9d8322-f43d-4d5b-a,Debit Card
3dbc5c36-cf02-471a-a,Debit Card
8a8ad346-7254-4c29-9,Cash
c5477bf5-5b0a-41b6-a,Debit Card
96c9bfe2-cd85-4858-b,Online Payments
9735150c-fc29-4f9a-b,Cash
40a7ce76-49e2-4410-8,Online Payments
14da09ca-35cb-4b32-a,Cash
5091bf4c-8f72-40bb-b,Cash
820271d8-9cd1-4efd-b,Online Payments
4d0612fc-5ab1-412d-8,Cash
9f1b88f2-dd6a-4bc8-a,Online Payments
104599fe-d7cd-489f-b,Online Payments
34ceded0-5fe8-4870-a,Cash
b54406b6-a5ff-4874-9,Debit Card
974dfae6-0965-4ce5-b,Online Payments
c329fb3e-2159-4fe1-8,Cash
cf4102cb-87a3-4584-9,Debit Card
5c386365-c05e-4fe8-b,Debit Card
850711e7-dfd0-48ba-b,Cash
e7a0824e-750d-44d0-b,Debit Card
09f23757-490d-4b1a-9,Online Payments
981aab0f-b6f6-4332-8,Online Payments
98bcd553-9859-4c9c-a,Cash
057b85f6-f0a4-4e14-b,Debit Card
67fb4ef0-b38d-432c-8,Debit Card
9860c0a3-8911-4525-b,Debit Card
b002e4ea-dd42-47f8-a,Online Payments
2add6a5e-7c04-49b7-9,Debit Card
1d206363-4949-431e-9,Online Payments
8a24b044-140c-4372-8,Cash
d97a67bc-2a70-4dba-a,Debit Card
8bb0ccc2-d519-4e85-8,Cash
8f870f79-82bb-493c-a,Cash
009cf50d-6aa7-4134-9,Online Payments
f8357a9c-4e28-4d53-8,Cash
0b5b2978-d7bc-4a4d-b,Cash
675a83b0-251d-4666-a,Online Payments
af817d76-0e63-4e23-a,Cash
2a01e8c7-91fa-406f-9,Cash
2fb367ce-5c55-4ab5-9,Online Payments
f1f14062-8ffd-42b0-a,Online Payments
6566c194-d9d3-4ba0-b,Debit Card
874a36f3-f44f-41c0-a,Debit Card
4dddbdbc-e040-4541-9,Cash
8b2356b3-51dd-4697-8,Online Payments
5c1e4efa-4c2b-49b5-9,Cash
05f19902-7c8a-4d60-b,Debit Card
c6d37e51-177e-446b-8,Cash
47414a92-5171-4d06-8,Online Payments
1d31ae6a-6677-469b-a,Debit Card
b13b8303-5e8d-47b4-a,Online Payments
403be5f3-8f47-4ef0-a,Online Payments
61fa0baa-9031-4c8f-8,Online Payments
8b62d507-ed9a-4618-8,Online Payments
8a890396-df43-470d-b,Cash
7dbb7dbc-c0b5-411c-b,Debit Card
40b72411-88d0-4c5f-a,Online Payments
9eb42ead-76c1-4cf2-8,Online Payments
8acaac9e-79b8-4da1-9,Cash
6384916d-4912-4efb-8,Debit Card
aeb4e5e0-90f1-4bf1-8,Cash
87f8a304-3367-4f3e-9,Online Payments
fcfd96bf-f866-4eae-8,Online Payments
70b3492b-0651-42b3-a,Debit Card
18db6a6c-d365-4e70-9,Cash
31803470-925d-4d80-a,Online Payments
3159a580-0b77-4a03-b,Debit Card
1dc7d441-874f-4026-b,Debit Card
97dc534f-b1bb-4d9e-9,Online Payments
020de746-e9e5-458d-a,Debit Card
33eb4985-1539-4ec5-9,Cash
2faea0b3-8da7-4730-a,Debit Card
85276d66-852c-4a4a-b,Cash
a7c07d59-148a-4cf3-9,Cash
04034a89-4aad-4a11-a,Debit Card
90da750e-0ceb-4229-b,Online Payments
8b5d5f05-60cb-4a4d-a,Online Payments
c88ebe73-380b-47f3-8,Cash
39fdcf3c-69db-4e40-b,Cash
f643db58-1418-4660-b,Online Payments
10901d18-5603-47cd-8,Cash
210d4b46-0947-4102-8,Debit Card
2b0c28c6-f8fd-4f81-b,Cash
a9ab02f9-92df-4abe-9,Cash
b2c20376-3038-4faf-a,Online Payments
a2e60b86-183f-41e1-b,Cash
091020c1-7103-4e9b-b,Cash
63b445f0-1ebb-427e-b,Debit Card
0b018b8f-5e74-4717-b,Online Payments
33cafcbb-3746-432a-b,Cash
3e984d2d-3ff8-4580-9,Debit Card
a4eea705-e819-4583-b,Cash
ed7580e3-da83-4106-9,Cash
8407905b-223f-4106-b,Online Payments
a5ddd3bd-f4b4-4b73-8,Debit Card
5249d40a-9387-4ab3-9,Debit Card
c1abb6a0-c381-44b4-9,Online Payments
cf0fdb2e-5b7b-4bff-8,Cash
168e2c66-48ac-4e1d-8,Debit Card
0ff9f691-9489-4c9b-9,Cash
6e097a4b-63c7-4d3f-9,Cash
79f5c23e-2ef9-4982-9,Debit Card
c2acc0c7-245e-42f8-9,Debit Card
32850e96-32e6-4692-9,Cash
9e5f0a2c-a8e2-4678-8,Cash
d9a76834-ac9e-4e32-a,Debit Card
97de09f3-a457-4e8f-9,Cash
20b4cb6b-37c1-439c-a,Online Payments
ffd57937-2e6e-4417-9,Online Payments
9797342a-104d-43a9-b,Cash
4087b27b-53af-4abe-b,Debit Card
68d311f0-3da0-4fd3-9,Cash
081ba47b-e55d-4da2-9,Debit Card
eb08ed93-17bc-4058-9,Online Payments
9db73ea2-41ec-4ef2-8,Cash
8c6604e5-775e-4909-8,Debit Card
ef9eea65-6a95-47b7-8,Online Payments
f109a7a8-eed6-47bd-b,Debit Card
008ee893-00a1-487e-a,Online Payments
87b09350-c99e-4f8f-8,Online Payments
e74c51c7-7246-43b8-a,Online Payments
702a6c7b-7ace-48d5-8,Cash
d0ff31b8-c1e0-4839-b,Cash
b8315d6a-bcbd-494a-8,Cash
59202911-40db-400b-9,Online Payments
68d1249d-1c40-4517-8,Debit Card
3100a940-f38c-4e2f-b,Debit Card
baca2945-f682-4eca-8,Debit Card
ae02cbe0-36be-41d3-8,Debit Card
3ef239c7-28a3-49aa-a,Debit Card
3016068f-74ba-44d9-b,Online Payments
a5771f99-5d81-4c8b-b,Online Payments
9afca0dd-9098-4501-a,Cash
80bb8238-fc46-41ad-b,Cash
0fe2916a-0164-426e-8,Online Payments
e9c78ae7-3317-4bf7-8,Cash
9bf9f0d5-2cc2-4f1b-b,Online Payments
a4d513d7-56ac-48ed-9,Debit Card
4895e52d-3a90-40f0-a,Debit Card
dfe7cbc0-4a6f-485b-8,Online Payments
44e3a457-ffd4-47d5-9,Online Payments
ae1c0a7d-d4e0-4882-b,Debit Card
a4c736ec-622d-4366-a,Debit Card
d0fde353-e88e-4d69-9,Online Payments
93892e89-9276-4352-8,Online Payments
df711d34-5ce3-43e4-8,Debit Card
d1498d70-01a5-4ea2-a,Cash
f2b8ca20-e4d6-412f-a,Cash
1ded03ad-8bad-4669-b,Cash
fdd37f1d-dc68-4805-b,Online Payments
002b99c9-12ee-4a87-8,Cash
46575837-1e41-4db5-b,Cash
5611ba46-463d-483c-8,Debit Card
47773d1b-06af-4ce3-a,Cash
7026e281-4dcb-4c1a-a,Debit Card
627cacc5-8ec9-41f5-a,Online Payments
964d88be-91bc-49a5-8,Debit Card
f27dadda-7352-49a6-9,Debit Card
4e4f30c5-f362-4980-b,Debit Card
43b0b224-16e6-4cfd-b,Debit Card
2a1cbd36-ee3f-4198-a,Cash
45cff5d6-23e3-4fac-a,Debit Card
51c01664-a3ea-4890-9,Debit Card
192b49bd-6323-4c31-9,Debit Card
22be9e9d-1821-49e2-8,Cash
c002a375-e9fb-4122-a,Online Payments
8431193d-4d2a-4d56-9,Online Payments
18a22ca1-25e6-4c14-8,Debit Card
56ea3f0e-33f3-4340-8,Cash
4ba868ad-b4d2-477a-8,Cash
a75f9bf9-fe16-4f47-a,Debit Card
7c8fad45-d72c-44fe-8,Online Payments
34154730-129a-4f17-a,Debit Card
780d4598-a85d-4c29-b,Online Payments
46440fce-54ec-4a4b-b,Online Payments
308b0b08-0e05-4f62-a,Debit Card
d0942eac-be91-4f4d-9,Debit Card
9c615389-c9f3-4cac-b,Online Payments
06d2d757-8849-46dd-8,Online Payments
a91b7536-d7d2-4a27-8,Cash
348bc88a-548a-490a-b,Cash
2c450c33-36db-483b-8,Online Payments
f2f1835d-ba1a-4cda-a,Online Payments
7f80d024-0ac9-4acf-a,Online Payments
ff8d391c-9585-4d0a-9,Online Payments
3448270f-f111-4402-9,Debit Card
34d4e14f-a8a7-4c23-b,Cash
9ed1bd52-5522-441c-8,Cash
cc1aafc1-3d02-4bc8-a,Online Payments
86f7959a-24ca-4d45-a,Debit Card
a4fe6fa5-3b9d-4af9-a,Debit Card
7524edd2-5823-4d84-9,Cash
5410a64d-0181-4445-8,Online Payments
6a4aadba-b6c3-4019-9,Debit Card
0f79d244-5f2b-4882-8,Cash
9095b583-3e01-4350-9,Online Payments
27e3e297-af40-4c66-a,Online Payments
d9bfc260-2dc3-4339-9,Cash
b07d8df4-5f21-45e2-a,Online Payments
f9ccf133-0163-4820-8,Debit Card
1d8e11c0-b83f-4ad7-8,Cash
e21e4378-6ea6-4535-9,Cash
9124da93-07e6-4aae-a,Debit Card
edcb6135-cd93-44f4-b,Debit Card
c0f8b1c9-3e42-443f-a,Online Payments
0a20dfe1-0681-4d2c-8,Online Payments
5c057b05-07f5-4772-9,Cash
05481f82-c1a3-4e15-8,Cash
df6c363c-5c1f-424f-a,Cash
178f562c-98e2-429c-a,Cash
fc291ad2-6c3e-4a53-9,Debit Card
9472d69e-7080-4208-b,Cash
4cee9096-88a2-416c-a,Debit Card
bdc56a06-8782-4d04-a,Debit Card
ec886e37-a7b3-46bf-a,Cash
96442bba-0a96-4435-b,Online Payments
0108bc86-c9c1-46de-b,Online Payments
b8890b2a-e6b4-43e1-a,Online Payments
851436aa-ab34-4fe1-b,Online Payments
e785fffc-25cf-456d-9,Cash
ddc0213d-5598-483c-8,Online Payments
18ec5b51-8de7-480a-8,Online Payments
629f9c14-c36e-478c-9,Online Payments
21fe19b4-d7f9-4d1e-9,Online Payments
233b230b-0b68-4f0f-a,Cash
30503493-f4f5-452b-8,Cash
784600c5-7990-4b5c-a,Online Payments
423d6f3a-6bb9-4c25-8,Cash
1c909ad5-e9df-47c6-a,Online Payments
85280897-885a-4f7e-8,Online Payments
c2505fae-2429-425c-9,Debit Card
1696d5b8-152a-4ac0-b,Cash
1f246b32-bdd4-477f-b,Debit Card
dd596028-02e2-4d50-b,Cash
7077c580-ebff-4e0f-8,Cash
4a5ba5d1-ec7b-4e99-b,Debit Card
f9b48a30-fdcb-44d5-8,Online Payments
1851bfd7-299b-4a45-b,Debit Card
f3466cfb-8c4d-413a-b,Online Payments
f0c17bca-c15d-4a76-9,Cash
aaf38c2e-fd85-438f-a,Online Payments
e173ebae-5223-4e28-9,Online Payments
38316ff2-ace1-4127-8,Cash
cbce9bfd-b409-4ab6-b,Cash
234f4d14-f72a-424b-b,Debit Card
12543cf7-905f-40b4-b,Debit Card
65e96031-5acb-4310-b,Cash
678a68f9-216e-445e-8,Online Payments
52eaa8dd-1256-4118-b,Debit Card
a2688006-b2f7-43d9-9,Online Payments
a4ec1b61-9371-4b58-8,Online Payments
87dd0281-b759-4800-b,Cash
453b339c-110f-4349-9,Online Payments
9be2aa25-7b68-4dca-8,Debit Card
3a68b414-dacc-4257-a,Cash
7f5f0d17-54e0-47a4-8,Debit Card
20ec1446-29f8-459a-9,Online Payments
b5fb1a37-5189-4969-9,Debit Card
d4b8716f-9179-4e97-9,Debit Card
5ea0d3af-37ac-4aa3-b,Online Payments
3ca53d7a-0902-421a-8,Online Payments
3708c7e8-71a4-47f0-a,Cash
7625bf7e-1b44-4cba-b,Online Payments
bfb215c2-f52e-416c-9,Cash
ddf13751-27ca-44c3-8,Cash
b90516d2-2a4e-4253-b,Online Payments
bae3292e-b520-4b2a-b,Debit Card
9397bcf1-1b6c-42a8-a,Online Payments
657f7bc1-a955-42e0-b,Cash
eb238dfb-b9d1-4778-b,Debit Card
f973c296-3262-4181-a,Cash
b3912789-0a0e-4968-9,Online Payments
4627faf5-3edc-4c94-a,Online Payments
df940de3-47de-4846-a,Debit Card
1bb0b3b5-3248-41c2-9,Online Payments
d78fcb34-234e-4e2b-a,Debit Card
6677dcea-d834-411a-9,Online Payments
f2f232ba-cfce-448f-8,Debit Card
c71bfc24-2de5-4059-8,Cash
767547f5-8ade-4637-b,Online Payments
60c1f081-e978-4079-b,Online Payments
ee512670-db79-4a0f-9,Cash
6733786f-84f0-4b3b-a,Online Payments
fdd8129c-f159-49f0-b,Debit Card
e23d8a81-4384-4764-8,Online Payments
76e99702-d03d-4e03-a,Online Payments
a22aa012-0cd1-4f2c-b,Debit Card
f65dff77-575a-408e-8,Debit Card
c8ceebb3-f81f-40e2-9,Online Payments
bbfb1f82-539c-4c97-b,Debit Card
5cf1d8cd-9a7c-4c28-9,Online Payments
2135b0c6-0941-4606-8,Online Payments
57729dd2-44cf-45a1-a,Cash
63cac200-1133-40a9-9,Cash
8eff0e23-c623-43cf-9,Online Payments
36eed4a4-a984-4d5e-8,Cash
a921d9e2-2341-4c5d-b,Online Payments
19cfb823-b516-42e3-8,Debit Card
fad5b497-5ab7-4ff1-b,Online Payments
d39f29c2-c4e1-4739-b,Debit Card
55f473d2-0e58-476d-a,Cash
e393cb35-7052-41ee-9,Debit Card
d2b82578-059a-4d15-b,Cash
b2cf724a-2f63-4d1d-b,Debit Card
607ea081-6009-4ef2-8,Debit Card
7b540017-e78b-4df1-a,Cash
27da4343-e120-49bc-b,Online Payments
ad0302af-4bba-49ac-b,Online Payments
744569c3-9987-4276-8,Online Payments
bc20f07e-d8ec-4643-8,Cash
1c47218d-a87b-4987-b,Online Payments
d13e9faa-e7ad-4881-8,Debit Card
5b72ea8a-73dd-44a8-b,Debit Card
3dc0358c-64eb-4ca5-9,Debit Card
c296609f-d98e-4048-a,Cash
482a6031-9aef-46d7-a,Cash
0b65562f-36a2-4e37-8,Cash
15e9cd29-7944-4259-8,Online Payments
a6baf44a-337a-47b7-8,Debit Card
f84b1e4e-2bd0-4771-a,Debit Card
f4de3e27-2b09-4775-8,Debit Card
5183ce7d-2dd2-4aea-a,Debit Card
899e681b-f403-45cb-a,Online Payments
64a39793-9487-42fa-9,Cash
871e56fd-89ca-4775-8,Debit Card
ad43df35-55e8-4b07-b,Debit Card
5acd8333-d8f2-44d1-a,Online Payments
e0bf579b-c4d5-4d4c-8,Online Payments
38e7c341-7994-4d52-9,Debit Card
57993b6c-e7c0-4ec8-8,Cash
13c5497f-df7e-427f-8,Debit Card
911f1a67-2635-47c1-8,Debit Card
4eab20b9-1270-4206-b,Online Payments
a2610e9a-0ae4-4c8f-9,Cash
937a8264-d7d4-4d0b-a,Online Payments
e56d2c22-549f-4e34-b,Cash
2f16f6e5-b32f-493e-8,Online Payments
796997d5-3b3c-4826-a,Online Payments
0443113f-b62b-47de-9,Debit Card
155af413-f5f8-4a3f-b,Cash
3462442c-5c7b-444b-a,Cash
2e8d6921-9e91-40ad-8,Debit Card
8da716f8-e9fd-4a7a-9,Debit Card
9ac9d905-5a8e-4f81-8,Debit Card
d5013b73-b30c-44c9-a,Debit Card
4e26b76b-964c-4fc0-b,Cash
8169437c-f960-48e9-8,Cash
f7f91faf-6a37-49f1-8,Online Payments
1327894c-9692-4182-a,Online Payments
1567319f-6760-470b-b,Online Payments
25f80ad4-9732-4373-a,Debit Card
37c5e490-cd73-4ada-8,Debit Card
8babce58-396b-4e7b-8,Debit Card
586cbc2f-e380-45c4-8,Cash
c4e6b484-df26-44e5-8,Cash
6a06b2d6-2c01-4682-9,Online Payments
15788938-8ab8-4c1a-b,Cash
90b3241e-7b9b-4d3f-a,Cash
a57dbd1e-6e47-43ad-a,Online Payments
e85de17e-1701-4dbc-b,Online Payments
570d42b7-8669-4711-9,Online Payments
126e0846-594c-4839-a,Cash
4cfc7246-f3da-407f-8,Cash
44ef806d-50df-40a3-8,Debit Card
0e66ac43-554b-40c7-8,Cash
e390cf30-d773-4929-8,Cash
3209ff4e-8d9f-4fb4-9,Debit Card
4504bab0-ecb6-44f0-a,Debit Card
857a655c-2957-4c6f-8,Online Payments
363ed725-28d5-4918-a,Online Payments
907df0b9-831e-40b8-8,Cash
06b57056-2071-42ba-b,Debit Card
291a3287-59b5-4b34-a,Online Payments
1ffd3f59-b821-487a-a,Cash
b8c0cd0f-6f0a-41a6-8,Online Payments
58c03f0b-bdc2-4193-b,Cash
cb4a851f-89b2-4856-8,Online Payments
cb989e88-13f2-41d9-b,Cash
dda58996-f300-4844-a,Cash
092cbd26-8b1e-45d7-b,Debit Card
8310b442-7c0a-4052-b,Online Payments
b11444a0-545d-4fae-a,Debit Card
df64ad99-a740-4296-8,Online Payments
