inventory_id,branch_id,menu_item_id,quantity
850e8a9a-0fac-4158-9,3,74c789fd-b439-4441-a015-f016c73f,130
2e86ed6c-bd9d-4083-a,4,e3ab77d0-bd30-4112-88b4-91e752ec,153
8736d939-de87-4417-a,2,8c383327-8af2-4cc3-b819-887e3f89,734
b28e1f6f-7453-4038-8,3,83e7948c-f302-419e-8c4c-4003a82d,974
f439c575-6ff6-4e9f-9,1,cf61e059-9260-44cd-8a9e-3b7cff28,652
543fffc5-26d8-4ca3-9,3,7af2e17e-81d2-4f05-b5f7-1d5bef19,73
93ba6fb4-4851-46c6-b,2,a58052e4-e44f-44bf-b25f-6033b2b4,476
0f7bc8e8-f28d-4f45-a,2,7fc7575c-8c47-43ec-a148-ae0e0ffc,192
b571d844-e87c-44ce-b,3,40ed33ae-8b28-4275-8ef5-910254d4,714
ae85c3a1-3f33-41af-9,3,ca5c3c04-c705-4d81-9ad1-2bdcc48a,516
7918dfdb-a4b9-435e-8,1,f10dc68b-94ab-44f4-b506-29206176,767
cb923e34-9e8b-4336-b,3,4c2613e9-b2b3-45cd-8d90-1632866f,69
44ed62f9-b5b4-405e-8,3,653134e3-b2cb-423e-8140-68114573,724
bf9188c0-0e76-42a0-b,3,725467c2-46f6-47a4-a436-9e545e0c,657
4bf90b0d-63ee-40e5-9,4,3ef655f6-6a7d-4d76-b65e-42a595ab,64
f08d5d40-6a5d-4692-8,1,d582ca56-8a33-4786-b8a0-1c21fd55,258
a08a5970-d3ed-4908-a,4,f37e2e13-29c2-4a62-adff-26ab0ec0,273
7dedc3f5-8e8d-40fb-8,4,b962dcf1-ea67-4b1f-b120-b2c52de8,601
d7ef1d53-bd7d-4bf2-a,2,0ef03ac2-c86f-4c37-9675-122fe1f6,710
be5cd0bc-f5fc-4bbc-a,2,5ebc5788-ff59-45e2-8cb5-e5e42fe1,216
1a62e08b-6d4f-4b66-a,1,bb9d4d72-b386-4488-b01f-d6a32a6e,953
47cea1f2-0b8f-4176-b,4,b0774227-78fe-45f6-be49-080ad096,291
4c00a9fe-c9bc-48cb-9,2,99a67984-5d08-4243-a24b-e74ebc68,446
1b670c00-8571-4db6-8,3,12269255-3c60-4838-ab18-1c00a4c8,176
9be6a7f1-33a4-409c-b,1,631d8b8f-494c-433e-8fa3-2acb4aee,706
ed058033-27f8-4a58-a,2,253e3a7c-67ee-4dec-8dc8-86a09471,33
6aa073ba-256c-4769-a,2,9256a05b-ba24-4925-8f6e-f3b24b8a,829
ee67bd0a-d58d-43af-8,4,482ca4c6-01bc-4f42-b04f-e5ccda0b,554
ae228fe2-5e4f-4c6e-8,1,dfe0a264-34ff-41f8-aecf-fce71d75,841
2fe787a0-77c3-464f-8,1,dba2c1e9-35ee-4215-ae87-889bb0a1,334
2f424870-e062-4e53-8,3,59dbbc14-2315-4f34-89f2-51dfb4a9,472
58642d27-d456-4c18-b,4,f9f9623b-f08a-4f5d-ab3e-e33dbbf0,808
b51fc4ca-298f-4601-9,3,285596a7-585d-4a70-9aa1-35d719ca,321
c0c85169-6763-4c0a-8,3,b0b2aaf6-32f8-461c-9748-a0f4abc5,465
6b7e0fc2-836d-489b-8,3,0e0339a5-bf5a-476b-a5e8-127bf480,829
c1f40e8d-8816-47f1-9,3,be8994fc-d49c-4db1-8b53-a67811df,47
f04cd207-5e79-43b9-b,1,459f9123-1da0-4d99-9297-d09a5fd0,864
2a359599-36b2-460e-8,2,7dd49153-b15f-4fd3-b3d5-350d3850,748
1482c822-4c37-466d-a,2,6b8d8341-ef33-4ec0-8483-f8737883,831
31e59d9b-fcc2-401b-b,3,118a5f36-d6e1-470a-bd12-1633d659,465
9f689869-f1fe-4e2d-9,1,1d5f587b-b3cb-40dd-bf35-d1a77701,348
d03768e5-5cf2-4119-8,4,a09dde0c-673c-4f35-97f8-946d6440,249
c55a7eb1-471a-4ad3-9,4,09b2acc1-ff60-4cf0-8e7a-8bde9433,534
ad7e1d15-2932-4419-9,3,f0eebb5f-83c7-4c30-9d82-dd4c87a7,611
12ff901f-ce37-4f9d-9,2,484f0461-ba1c-461b-af00-d87cc7f7,190
550906f0-4f6f-4740-8,4,e5ba03e9-5b46-419d-ac10-c72c7faf,921
36b53542-6d05-4a3f-9,4,3abe9a1c-4080-498e-a670-5c18fbeb,788
7410a1b1-210d-46c9-b,1,36f52cd2-1002-4800-92a5-95606666,391
2df9e926-6b2d-4e82-a,4,cd492f36-5fe0-4827-ae04-41d0865e,866
aed3d109-2c69-4887-b,1,3d249c61-8ab2-4d08-bf0c-2c65b5b5,831
659094f3-4efa-4acc-8,2,807aac95-86ba-4bbc-ae4c-19c5b7e0,874
0f11d2f6-c42a-4541-b,1,be624092-176f-4024-ad19-df1605ff,917
0ee45dea-813a-4f5a-8,3,6ed64c34-b32d-4228-8b87-f11d8674,659
a5b91a20-19f7-43ae-a,2,c5a6ea70-6826-485d-9dff-e16527a3,787
b35bfd4a-e416-4cb7-b,1,fbe8d8a1-f90f-4c7f-8f9d-4facd7a8,1
d3fa848a-3e27-409a-b,4,555c2c3e-b3e3-40d8-a813-c267dd11,851
852390cb-6419-4b9c-b,4,8a83b0dd-18b0-445c-9e9d-3b0a4740,70
7b95dc60-a9eb-4f4a-9,2,f45b5fa4-54ce-49de-9a4d-2106f09c,212
b2daff7b-bb9f-41ab-8,1,44d931df-7965-4a6a-a3e9-3c30fc23,904
3ec568a6-5806-4992-b,4,ea789bfc-f77c-4125-8df9-6a056523,210
b303ea7b-46d1-41af-9,2,8bf2bde0-eb5f-45fd-9577-ead5e095,433
6cd04d92-6b4e-4913-8,2,eb7a2333-79f7-4389-af7e-f3c49786,649
24e32af3-c51a-465c-9,4,3ccedde3-e2ed-412e-87b4-adaa15d3,214
ee47feee-d2f4-4dda-a,3,955fdc72-af8d-4e54-a8cd-fcc6a168,942
cfd8bfaf-9a6c-414e-9,2,a91c2df2-abb6-4011-970a-05c7c46f,667
43d817b7-e0d6-4aa2-b,1,57d1586c-18fe-4689-a29e-17f7a482,916
f8a5b180-205d-4db0-9,4,d4581367-10d0-4102-8231-6e537fd3,591
71099836-3887-4923-8,4,c9829940-f95a-43a9-a578-5f3812ae,160
efb0fbf9-96dd-4483-a,1,f9c31568-e960-43bb-b844-445a9ce2,474
e9c15075-1c8b-4ca3-b,4,70eb6e2e-a6d3-484f-bf9b-c631f6df,329
a6364c18-3284-4e13-a,4,737bbc6a-24e3-4a9d-816c-60bad6e1,374
b1478f40-6746-4978-b,1,598f38b7-4b2d-44f4-bc04-370c5a43,751
965180a9-0cf7-44de-9,4,5dc43778-394b-4aeb-a21f-adf6eb36,655
be4b2832-cd72-4bcc-9,4,fb2860df-cd8f-4513-af62-81cdf976,340
4e25e130-4752-45b2-9,4,61702031-c170-4730-af1f-f0bd09cc,837
